PID;TEMPO DE CHEGADA; TEMPO DE EXECUCAO; TEMPO DE ESPERA; TEMPO TOTAL
1;4.549;4.062;0.0;4.062
2;4.102;4.424;5.0;9.424
3;3.52;1.515;10.0;11.515
4;1.497;4.968;12.0;16.968
5;0.882;0.718;17.0;17.718
6;2.114;1.523;18.0;19.523
7;4.462;3.454;20.0;23.454
8;3.402;2.789;24.0;26.789
9;2.556;4.261;27.0;31.261
10;1.728;0.456;32.0;32.456
tp; to; tt; qtdeTrocaContexto; OcupacaoDoProcessador; OverheadDeProcessamento; tempoMedioDeEspera; quantum
28.17;3.4000000000000017;31.570000000000004;34;0.8923028191320874;0.10769718086791262;16.5;
